Date,BNB_Open,BNB_High,BNB_Low,BNB_Close,BNB_Adj Close,BNB_Volume
02-01-2018,0.620000005,0.625,0.620000005,0.625,0.625,0
03-01-2018,0.629999995,0.629999995,0.629999995,0.629999995,0.629999995,0
04-01-2018,0.63499999,0.63499999,0.629999995,0.629999995,0.629999995,0
05-01-2018,0.625,0.629999995,0.625,0.629999995,0.629999995,0
08-01-2018,0.584999979,0.63499999,0.584999979,0.63499999,0.63499999,0
09-01-2018,0.605000019,0.620000005,0.605000019,0.610000014,0.610000014,0
10-01-2018,0.550000012,0.579999983,0.550000012,0.569999993,0.569999993,0
11-01-2018,0.625,0.629999995,0.625,0.625,0.625,0
12-01-2018,0.61500001,0.61500001,0.610000014,0.610000014,0.610000014,0
16-01-2018,0.63499999,0.63499999,0.61500001,0.61500001,0.61500001,0
17-01-2018,0.629999995,0.629999995,0.605000019,0.605000019,0.605000019,0
18-01-2018,0.639999986,0.639999986,0.63499999,0.63499999,0.63499999,0
19-01-2018,0.639999986,0.639999986,0.61500001,0.61500001,0.61500001,0
22-01-2018,0.639999986,0.639999986,0.63499999,0.63499999,0.63499999,0
23-01-2018,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0
24-01-2018,0.644999981,0.644999981,0.644999981,0.644999981,0.644999981,0
25-01-2018,0.644999981,0.644999981,0.644999981,0.644999981,0.644999981,0
26-01-2018,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0
29-01-2018,0.63499999,0.639999986,0.63499999,0.639999986,0.639999986,0
30-01-2018,0.630999982,0.630999982,0.620999992,0.620999992,0.620999992,0
31-01-2018,0.611000001,0.611000001,0.610000014,0.610000014,0.610000014,0
01-02-2018,0.601999998,0.612999976,0.601999998,0.612999976,0.612999976,0
02-02-2018,0.592000008,0.593999982,0.591000021,0.593999982,0.593999982,0
05-02-2018,0.616999984,0.616999984,0.615999997,0.615999997,0.615999997,0
06-02-2018,0.611000001,0.611000001,0.610000014,0.611000001,0.611000001,0
07-02-2018,0.616999984,0.616999984,0.612999976,0.612999976,0.612999976,0
08-02-2018,0.61500001,0.61500001,0.61500001,0.61500001,0.61500001,0
09-02-2018,0.619000018,0.623000026,0.619000018,0.623000026,0.623000026,0
12-02-2018,0.623000026,0.623000026,0.623000026,0.623000026,0.623000026,0
13-02-2018,0.620000005,0.620000005,0.620000005,0.620000005,0.620000005,0
14-02-2018,0.61500001,0.61500001,0.614000022,0.614000022,0.614000022,0
15-02-2018,0.61500001,0.61500001,0.588999987,0.588999987,0.588999987,0
16-02-2018,0.586000025,0.586000025,0.586000025,0.586000025,0.586000025,0
20-02-2018,0.621999979,0.621999979,0.616999984,0.616999984,0.616999984,0
21-02-2018,0.620999992,0.620999992,0.619000018,0.619000018,0.619000018,0
22-02-2018,0.620999992,0.620999992,0.593999982,0.593999982,0.593999982,0
23-02-2018,0.620000005,0.620000005,0.615999997,0.616999984,0.616999984,0
26-02-2018,0.619000018,0.620000005,0.617999971,0.620000005,0.620000005,0
27-02-2018,0.617999971,0.620999992,0.616999984,0.620999992,0.620999992,0
28-02-2018,0.59799999,0.59799999,0.597000003,0.597000003,0.597000003,0
01-03-2018,0.615999997,0.621999979,0.615999997,0.621999979,0.621999979,0
02-03-2018,0.61500001,0.61500001,0.611999989,0.611999989,0.611999989,0
05-03-2018,0.601999998,0.609000027,0.601000011,0.609000027,0.609000027,0
06-03-2018,0.610000014,0.610000014,0.610000014,0.610000014,0.610000014,0
