Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Adj Close,BTC_Volume
17-09-2014,465.8640137,468.1740112,452.4219971,457.3340149,457.3340149,21056800
18-09-2014,456.8599854,456.8599854,413.1040039,424.4400024,424.4400024,34483200
19-09-2014,424.1029968,427.8349915,384.5320129,394.79599,394.79599,37919700
20-09-2014,394.6730042,423.29599,389.8829956,408.9039917,408.9039917,36863600
21-09-2014,408.0849915,412.4259949,393.1809998,398.8210144,398.8210144,26580100
22-09-2014,399.1000061,406.9159851,397.1300049,402.1520081,402.1520081,24127600
23-09-2014,402.0920105,441.5570068,396.196991,435.7909851,435.7909851,45099500
24-09-2014,435.7510071,436.1119995,421.1319885,423.2049866,423.2049866,30627700
25-09-2014,423.1560059,423.519989,409.4679871,411.5740051,411.5740051,26814400
26-09-2014,411.4289856,414.9379883,400.0090027,404.4249878,404.4249878,21460800
27-09-2014,403.5559998,406.6229858,397.3720093,399.519989,399.519989,15029300
28-09-2014,399.4710083,401.0169983,374.3320007,377.1809998,377.1809998,23613300
29-09-2014,376.928009,385.2109985,372.2399902,375.4670105,375.4670105,32497700
30-09-2014,376.0880127,390.9769897,373.4429932,386.9440002,386.9440002,34707300
01-10-2014,387.427002,391.3789978,380.7799988,383.6149902,383.6149902,26229400
02-10-2014,383.9880066,385.4970093,372.9460144,375.071991,375.071991,21777700
03-10-2014,375.1809998,377.6950073,357.8590088,359.5119934,359.5119934,30901200
04-10-2014,359.8919983,364.4869995,325.8859863,328.8659973,328.8659973,47236500
05-10-2014,328.9159851,341.8009949,289.29599,320.5100098,320.5100098,83308096
06-10-2014,320.3890076,345.1340027,302.5599976,330.07901,330.07901,79011800
07-10-2014,330.5840149,339.2470093,320.4819946,336.1870117,336.1870117,49199900
08-10-2014,336.1159973,354.3640137,327.1879883,352.9400024,352.9400024,54736300
09-10-2014,352.7479858,382.7260132,347.6870117,365.026001,365.026001,83641104
10-10-2014,364.6870117,375.0669861,352.9630127,361.5620117,361.5620117,43665700
11-10-2014,361.3619995,367.1910095,355.9509888,362.2990112,362.2990112,13345200
12-10-2014,362.6059875,379.4330139,356.1440125,378.5490112,378.5490112,17552800
13-10-2014,377.92099,397.2260132,368.8970032,390.4140015,390.4140015,35221400
14-10-2014,391.6919861,411.697998,391.3240051,400.8699951,400.8699951,38491500
15-10-2014,400.9549866,402.2269897,388.7659912,394.7730103,394.7730103,25267100
16-10-2014,394.5180054,398.8070068,373.0700073,382.5559998,382.5559998,26990000
17-10-2014,382.756012,385.4779968,375.3890076,383.7579956,383.7579956,13600700
18-10-2014,383.9760132,395.1579895,378.9710083,391.4419861,391.4419861,11416800
19-10-2014,391.2539978,393.9389954,386.4570007,389.54599,389.54599,5914570
20-10-2014,389.2309875,390.0840149,378.2520142,382.8450012,382.8450012,16419000
21-10-2014,382.42099,392.6459961,380.8340149,386.4750061,386.4750061,14188900
22-10-2014,386.1180115,388.5759888,382.2489929,383.1579895,383.1579895,11641300
23-10-2014,382.9620056,385.0480042,356.446991,358.4169922,358.4169922,26456900
24-10-2014,358.5910034,364.3450012,353.3049927,358.3450012,358.3450012,15585700
25-10-2014,358.6109924,359.8609924,342.8770142,347.2709961,347.2709961,18127500
