Date,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Adj Close,ETH_Volume
23-07-2024,3.299999952,3.309999943,3.190000057,3.269999981,3.269999981,20130200
24-07-2024,3.269999981,3.269999981,3.160000086,3.170000076,3.170000076,31096200
25-07-2024,2.980000019,3,2.920000076,2.940000057,2.940000057,32041600
26-07-2024,3.039999962,3.099999905,3.029999971,3.079999924,3.079999924,36664500
29-07-2024,3.190000057,3.190000057,3.069999933,3.119999886,3.119999886,33673400
30-07-2024,3.160000086,3.165999889,3.069999933,3.079999924,3.079999924,15546300
31-07-2024,3.140000105,3.160000086,3.052999973,3.079999924,3.079999924,23857800
01-08-2024,3,3.00999999,2.900000095,2.940000057,2.940000057,17839600
02-08-2024,2.960000038,3,2.809999943,2.829999924,2.829999924,22080200
05-08-2024,2.089999914,2.380000114,2.059999943,2.269999981,2.269999981,41084100
06-08-2024,2.319999933,2.410000086,2.279999971,2.349999905,2.349999905,19635000
07-08-2024,2.329999924,2.349999905,2.194999933,2.210000038,2.210000038,23364000
08-08-2024,2.329999924,2.460000038,2.275000095,2.430000067,2.430000067,19167600
09-08-2024,2.49000001,2.50999999,2.404000044,2.444999933,2.444999933,15556200
12-08-2024,2.529999971,2.569999933,2.444000006,2.50999999,2.50999999,16511000
13-08-2024,2.49000001,2.576999903,2.480000019,2.549999952,2.549999952,11617700
14-08-2024,2.569999933,2.579999924,2.480000019,2.50999999,2.50999999,13943900
15-08-2024,2.50999999,2.519999981,2.380000114,2.410000086,2.410000086,15087500
16-08-2024,2.450000048,2.480000019,2.404999971,2.480000019,2.480000019,10433500
19-08-2024,2.450000048,2.480000019,2.413000107,2.460000038,2.460000038,7292700
20-08-2024,2.480000019,2.5,2.410000086,2.460000038,2.460000038,8292900
21-08-2024,2.440000057,2.5,2.390000105,2.5,2.5,10344700
22-08-2024,2.480000019,2.480000019,2.440000057,2.450000048,2.450000048,7633300
23-08-2024,2.50999999,2.599999905,2.480000019,2.589999914,2.589999914,13716800
26-08-2024,2.589999914,2.589999914,2.519999981,2.529999971,2.529999971,8331800
27-08-2024,2.480000019,2.480000019,2.410000086,2.440000057,2.440000057,8659500
28-08-2024,2.380000114,2.400000095,2.313999891,2.359999895,2.359999895,13592200
29-08-2024,2.430000067,2.450000048,2.36500001,2.380000114,2.380000114,7335700
30-08-2024,2.369999886,2.400000095,2.289999962,2.359999895,2.359999895,11278200
03-09-2024,2.359999895,2.36500001,2.289999962,2.299999952,2.299999952,9836500
04-09-2024,2.25,2.349999905,2.25,2.319999933,2.319999933,12696500
05-09-2024,2.25,2.279999971,2.210000038,2.220000029,2.220000029,11084900
06-09-2024,2.25,2.25999999,2.079999924,2.089999914,2.089999914,14154000
09-09-2024,2.180000067,2.220000029,2.140000105,2.220000029,2.220000029,9701100
10-09-2024,2.210000038,2.25999999,2.190000057,2.24000001,2.24000001,7999300
11-09-2024,2.200000048,2.230000019,2.140000105,2.200000048,2.200000048,10125800
12-09-2024,2.210000038,2.230000019,2.180000067,2.230000019,2.230000019,9064000
13-09-2024,2.220000029,2.289999962,2.210000038,2.279999971,2.279999971,10951400
16-09-2024,2.180000067,2.180000067,2.13499999,2.140000105,2.140000105,12385600
17-09-2024,2.190000057,2.25999999,2.170000076,2.220000029,2.220000029,10251300
18-09-2024,2.180000067,2.224999905,2.150000095,2.180000067,2.180000067,12062700
19-09-2024,2.299999952,2.349999905,2.279999971,2.329999924,2.329999924,13789200
20-09-2024,2.390000105,2.429899931,2.369999886,2.400000095,2.400000095,11964589
